arrival_time,route_short_name,route_long_name,headsign,service_days
14:54:32,147,Outer DuSable Lake Shore Express,,Mon,Tue,Wed,Thu,Fri
13:47:15,147,Outer DuSable Lake Shore Express,,Sat
18:11:50,147,Outer DuSable Lake Shore Express,,Mon,Tue,Wed,Thu,Fri
19:48:23,147,Outer DuSable Lake Shore Express,,Sun
06:12:13,147,Outer DuSable Lake Shore Express,,Sun
22:36:53,147,Outer DuSable Lake Shore Express,,Sat
15:40:15,147,Outer DuSable Lake Shore Express,,Sat
10:02:23,147,Outer DuSable Lake Shore Express,,Sun
18:39:07,147,Outer DuSable Lake Shore Express,,Mon,Tue,Wed,Thu,Fri
17:52:27,147,Outer DuSable Lake Shore Express,,Sun
23:18:05,147,Outer DuSable Lake Shore Express,,Sun
08:46:48,147,Outer DuSable Lake Shore Express,,Sun
11:57:27,147,Outer DuSable Lake Shore Express,,Sat
22:26:53,147,Outer DuSable Lake Shore Express,,Sat
15:13:27,147,Outer DuSable Lake Shore Express,,Sun
13:08:23,147,Outer DuSable Lake Shore Express,,Sun
16:05:45,147,Outer DuSable Lake Shore Express,,Sat
07:45:15,147,Outer DuSable Lake Shore Express,,Mon,Tue,Wed,Thu,Fri
15:17:32,147,Outer DuSable Lake Shore Express,,Mon,Tue,Wed,Thu,Fri
10:49:57,147,Outer DuSable Lake Shore Express,,Sat
09:09:35,147,Outer DuSable Lake Shore Express,,Sat
08:12:15,147,Outer DuSable Lake Shore Express,,Mon,Tue,Wed,Thu,Fri
14:17:15,147,Outer DuSable Lake Shore Express,,Mon,Tue,Wed,Thu,Fri
08:36:18,147,Outer DuSable Lake Shore Express,,Sat
07:31:18,147,Outer DuSable Lake Shore Express,,Sat
07:12:13,147,Outer DuSable Lake Shore Express,,Sun
21:02:23,147,Outer DuSable Lake Shore Express,,Sat
22:06:53,147,Outer DuSable Lake Shore Express,,Sat
22:46:53,147,Outer DuSable Lake Shore Express,,Sat
07:48:18,147,Outer DuSable Lake Shore Express,,Sat
14:29:02,147,Outer DuSable Lake Shore Express,,Sat
17:03:15,147,Outer DuSable Lake Shore Express,,Sun
07:09:10,147,Outer DuSable Lake Shore Express,,Mon,Tue,Wed,Thu,Fri
13:20:23,147,Outer DuSable Lake Shore Express,,Sun
05:52:38,147,Outer DuSable Lake Shore Express,,Sat
19:33:53,147,Outer DuSable Lake Shore Express,,Sat
18:28:40,147,Outer DuSable Lake Shore Express,,Sat
08:56:53,147,Outer DuSable Lake Shore Express,,Mon,Tue,Wed,Thu,Fri
05:56:13,147,Outer DuSable Lake Shore Express,,Mon,Tue,Wed,Thu,Fri
14:29:02,147,Outer DuSable Lake Shore Express,,Sat
14:10:45,147,Outer DuSable Lake Shore Express,,Sat
24:14:35,147,Outer DuSable Lake Shore Express,,Sun
15:22:45,147,Outer DuSable Lake Shore Express,,Sat
23:56:30,147,Outer DuSable Lake Shore Express,,Sat
09:05:18,147,Outer DuSable Lake Shore Express,,Sun
05:32:13,147,Outer DuSable Lake Shore Express,,Sun
17:35:57,147,Outer DuSable Lake Shore Express,,Sat
14:05:15,147,Outer DuSable Lake Shore Express,,Mon,Tue,Wed,Thu,Fri
21:46:53,147,Outer DuSable Lake Shore Express,,Sat
20:21:57,147,Outer DuSable Lake Shore Express,,Mon,Tue,Wed,Thu,Fri
16:30:50,147,Outer DuSable Lake Shore Express,,Mon,Tue,Wed,Thu,Fri
17:49:57,147,Outer DuSable Lake Shore Express,,Sat
18:58:20,147,Outer DuSable Lake Shore Express,,Mon,Tue,Wed,Thu,Fri
05:52:13,147,Outer DuSable Lake Shore Express,,Sun
17:52:27,147,Outer DuSable Lake Shore Express,,Sun
21:37:23,147,Outer DuSable Lake Shore Express,,Sat
19:51:27,147,Outer DuSable Lake Shore Express,,Mon,Tue,Wed,Thu,Fri
16:08:27,147,Outer DuSable Lake Shore Express,,Sun
18:42:27,147,Outer DuSable Lake Shore Express,,Sun
08:26:45,147,Outer DuSable Lake Shore Express,,Mon,Tue,Wed,Thu,Fri
23:55:05,147,Outer DuSable Lake Shore Express,,Sun
20:04:53,147,Outer DuSable Lake Shore Express,,Sat
04:52:38,147,Outer DuSable Lake Shore Express,,Sat
04:52:38,147,Outer DuSable Lake Shore Express,,Sat
12:57:40,147,Outer DuSable Lake Shore Express,,Sun
23:36:30,147,Outer DuSable Lake Shore Express,,Sat
13:53:23,147,Outer DuSable Lake Shore Express,,Sun
19:25:40,147,Outer DuSable Lake Shore Express,,Sat
09:52:05,147,Outer DuSable Lake Shore Express,,Mon,Tue,Wed,Thu,Fri
16:50:57,147,Outer DuSable Lake Shore Express,,Sun
10:01:57,147,Outer DuSable Lake Shore Express,,Sat
15:31:45,147,Outer DuSable Lake Shore Express,,Sat
10:52:53,147,Outer DuSable Lake Shore Express,,Sun
06:15:30,147,Outer DuSable Lake Shore Express,,Mon,Tue,Wed,Thu,Fri
19:22:27,147,Outer DuSable Lake Shore Express,,Sun
10:19:23,147,Outer DuSable Lake Shore Express,,Sun
15:17:32,147,Outer DuSable Lake Shore Express,,Mon,Tue,Wed,Thu,Fri
06:47:13,147,Outer DuSable Lake Shore Express,,Sun
04:52:43,147,Outer DuSable Lake Shore Express,,Mon,Tue,Wed,Thu,Fri
18:28:50,147,Outer DuSable Lake Shore Express,,Mon,Tue,Wed,Thu,Fri
21:29:23,147,Outer DuSable Lake Shore Express,,Sat
19:41:53,147,Outer DuSable Lake Shore Express,,Sat
17:42:27,147,Outer DuSable Lake Shore Express,,Sun
06:50:30,147,Outer DuSable Lake Shore Express,,Sat
21:59:53,147,Outer DuSable Lake Shore Express,,Sun
21:11:23,147,Outer DuSable Lake Shore Express,,Sat
19:41:53,147,Outer DuSable Lake Shore Express,,Sat
15:57:15,147,Outer DuSable Lake Shore Express,,Sat
20:04:53,147,Outer DuSable Lake Shore Express,,Sat
08:26:48,147,Outer DuSable Lake Shore Express,,Sun
18:19:50,147,Outer DuSable Lake Shore Express,,Mon,Tue,Wed,Thu,Fri
22:50:23,147,Outer DuSable Lake Shore Express,,Mon,Tue,Wed,Thu,Fri
16:14:15,147,Outer DuSable Lake Shore Express,,Sat
06:50:30,147,Outer DuSable Lake Shore Express,,Sat
20:10:23,147,Outer DuSable Lake Shore Express,,Sun
18:12:27,147,Outer DuSable Lake Shore Express,,Sun
07:26:57,147,Outer DuSable Lake Shore Express,,Mon,Tue,Wed,Thu,Fri
21:20:23,147,Outer DuSable Lake Shore Express,,Sat
23:09:53,147,Outer DuSable Lake Shore Express,,Sat
07:10:30,147,Outer DuSable Lake Shore Express,,Sat
09:32:23,147,Outer DuSable Lake Shore Express,,Mon,Tue,Wed,Thu,Fri
